title,journal,authors,abstract,doi,scopus_id,eid,year,subtype,subtype_description,openaccess,source_url,pdf_path,download_status
Artificial Intelligence Technologies for Aircraft Maintenance: A Systematic Literature Review,International Journal of Prognostics and Health Management,Pavlyuk D.,,10.36001/ijphm.2026.v17i1.4567,SCOPUS_ID:105027458145,2-s2.0-105027458145,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105027458145,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Artificial Intelligence Technologies for Aircraft Maintenance_ A Systematic Literature Review.pdf,success_from_html
Teachers’ artificial intelligence (AI) literacy: an exploratory study,Smart Learning Environments,Dehen M.,,10.1186/s40561-026-00433-5,SCOPUS_ID:105028289563,2-s2.0-105028289563,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105028289563,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Teachers’ artificial intelligence (AI) literacy_ an exploratory study.pdf,success_from_html
Untangling pathways from digital instructional leadership to AI pedagogy: a diffusion of innovation theory perspective,BMC Psychology,Hsieh C.C.,,10.1186/s40359-025-03792-9,SCOPUS_ID:105027516681,2-s2.0-105027516681,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105027516681,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Untangling pathways from digital instructional leadership to AI pedagogy_ a diffusion of innovation theory perspective.pdf,success_from_html
Teachers’ perceptions of AI in supporting students’ learning within a globally diverse digital settings,Discover Education,Sharmin L.,,10.1007/s44217-025-01089-y,SCOPUS_ID:105029106404,2-s2.0-105029106404,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105029106404,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Teachers’ perceptions of AI in supporting students’ learning within a globally diverse digital settings.pdf,success_from_html
Enhancing creative writing through AI-powered co-creation with cognitive and emotional outcomes,Scientific Reports,Cen X.,,10.1038/s41598-025-34416-2,SCOPUS_ID:105029032046,2-s2.0-105029032046,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105029032046,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Enhancing creative writing through AI-powered co-creation with cognitive and emotional outcomes.pdf,success_from_html
"Exploring the influence of moral development, religiosity, and AI self-efficacy on ethical AI use among university students in Ghana and Namibia",Discover Artificial Intelligence,Mensah E.,,10.1007/s44163-025-00805-9,SCOPUS_ID:105031653968,2-s2.0-105031653968,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105031653968,"/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Exploring the influence of moral development, religiosity, and AI self-efficacy on ethical AI use among university students in Ghana an.pdf",success_from_html
"Mathematics teachers’ AI literacy, anxiety, and perceptions of AI integration in mathematics education: a mixed-methods study",BMC Psychology,İnci Kuzu Ç.,,10.1186/s40359-025-03836-0,SCOPUS_ID:105027342192,2-s2.0-105027342192,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105027342192,"/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Mathematics teachers’ AI literacy, anxiety, and perceptions of AI integration in mathematics education_ a mixed-methods study.pdf",success_from_html
Leveraging AI to reduce operational healthcare costs: lessons from other industries,Npj Health Systems,Wong A.,,10.1038/s44401-026-00070-7,SCOPUS_ID:105031172015,2-s2.0-105031172015,2026,no,Note,1,https://api.elsevier.com/content/abstract/scopus_id/105031172015,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_Leveraging AI to reduce operational healthcare costs_ lessons from other industries.pdf,success_from_html
A scoping review of AI for sustainability and sustainable AI in higher education,Discover Computing,Daniel B.K.,,10.1007/s10791-025-09861-2,SCOPUS_ID:105028660096,2-s2.0-105028660096,2026,re,Review,1,https://api.elsevier.com/content/abstract/scopus_id/105028660096,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_A scoping review of AI for sustainability and sustainable AI in higher education.pdf,success_from_html
AI anxiety and adoption intention in higher education based on an extended TAM-UTAUT and PLS-SEM analysis,Scientific Reports,Kai C.,,10.1038/s41598-026-35823-9,SCOPUS_ID:105029554977,2-s2.0-105029554977,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105029554977,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/ai/2026_AI anxiety and adoption intention in higher education based on an extended TAM-UTAUT and PLS-SEM analysis.pdf,success_from_html
