title,journal,authors,abstract,doi,scopus_id,eid,year,subtype,subtype_description,openaccess,source_url,pdf_path,download_status
Impact of green chemistry education on students’ learning and environmental awareness in chemistry,Discover Education,Sunday E.S.,,10.1007/s44217-025-01056-7,SCOPUS_ID:105028189141,2-s2.0-105028189141,2026,re,Review,1,https://api.elsevier.com/content/abstract/scopus_id/105028189141,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Impact of green chemistry education on students’ learning and environmental awareness in chemistry.pdf,success_from_html
Role of basic chemistry education in clinical pharmacy requirements: evidence from cross-sectional study and narrative review,BMC Medical Education,Zhang Y.,,10.1186/s12909-025-08555-z,SCOPUS_ID:105029737939,2-s2.0-105029737939,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105029737939,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Role of basic chemistry education in clinical pharmacy requirements_ evidence from cross-sectional study and narrative review.pdf,success_from_html
Exploring motivational mechanisms to learn in a national chemistry projects competition: lessons from a retrospective study,Disciplinary and Interdisciplinary Science Education Research,Marchak D.,,10.1186/s43031-025-00152-w,SCOPUS_ID:105030208355,2-s2.0-105030208355,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105030208355,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Exploring motivational mechanisms to learn in a national chemistry projects competition_ lessons from a retrospective study.pdf,success_from_html
Supporting the mental health of undergraduate women in chemistry,Communications Chemistry,Grint I.,,10.1038/s42004-025-01806-6,SCOPUS_ID:105026732255,2-s2.0-105026732255,2026,no,Note,1,https://api.elsevier.com/content/abstract/scopus_id/105026732255,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Supporting the mental health of undergraduate women in chemistry.pdf,success_from_html
A review on the role of artificial intelligence and data science in green and sustainable chemistry: current trends and futuristic pathways,Discover Chemical Engineering,Yadav S.,,10.1007/s43938-025-00104-w,SCOPUS_ID:105027051368,2-s2.0-105027051368,2026,re,Review,1,https://api.elsevier.com/content/abstract/scopus_id/105027051368,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_A review on the role of artificial intelligence and data science in green and sustainable chemistry_ current trends and futuristic path.pdf,success_from_html
Chemistry faculty perspectives on artificial intelligence and pedagogical change in higher education,Discover Education,Matthews M.B.,,10.1007/s44217-026-01250-1,SCOPUS_ID:105031488992,2-s2.0-105031488992,2026,re,Review,1,https://api.elsevier.com/content/abstract/scopus_id/105031488992,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Chemistry faculty perspectives on artificial intelligence and pedagogical change in higher education.pdf,success_from_html
A structured multi-day experimental framework integrating green chemistry for the extraction and characterization of Berberine hydrochloride in undergraduate education,Scientific Reports,Liu Y.,,10.1038/s41598-026-39150-x,SCOPUS_ID:105031691956,2-s2.0-105031691956,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105031691956,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_A structured multi-day experimental framework integrating green chemistry for the extraction and characterization of Berberine hydrochl.pdf,success_from_html
Potential metabolic viability on asteroid chemistry,Communications Chemistry,Fisher T.,,10.1038/s42004-025-01860-0,SCOPUS_ID:105028892958,2-s2.0-105028892958,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105028892958,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Potential metabolic viability on asteroid chemistry.pdf,success_from_html
Polyhydroxy Hydrogel Electrolyte with In Situ Tuned Interface Chemistry for Ultra-Stable Biosensing-Compatible Zinc Batteries,Nano Micro Letters,Guo F.,,10.1007/s40820-025-02061-z,SCOPUS_ID:105028657849,2-s2.0-105028657849,2026,ar,Article,1,https://api.elsevier.com/content/abstract/scopus_id/105028657849,/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Polyhydroxy Hydrogel Electrolyte with In Situ Tuned Interface Chemistry for Ultra-Stable Biosensing-Compatible Zinc Batteries.pdf,success_from_html
"Toxicity of respirable coal dust: An overview of origin, chemistry, mechanisms, and possible remedies",International Journal of Coal Science and Technology,Eskanlou A.,,10.1007/s40789-025-00841-x,SCOPUS_ID:105026653105,2-s2.0-105026653105,2026,re,Review,1,https://api.elsevier.com/content/abstract/scopus_id/105026653105,"/mnt/shared/playground/AI-Chem-2026-37420232204783-黄子烨/week02/outputs/pdfs/chemistry/2026_Toxicity of respirable coal dust_ An overview of origin, chemistry, mechanisms, and possible remedies.pdf",success_from_html
