smiles,pKa
S(=O)(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1),-7.15
S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),-7.1
S(=O)(=O)(O)C1(=CC(=CC=C1)C(F)(F)F),-6.93
[Br]C1(=CC=C(S(=O)(=O)O)C=C1),-6.72
SC1(=[N+](C=CC=2(C1=CC=CC=2))C),-2.13
OC1(=C(C#N)C=[NH+]C=2(C1=CC=CC=2)),-2.08
OC1(=[NH+]N=CC=2(C1=CC=CC=2)),-2
OC1(=[NH+]N=CC=C1),-1.8
O([N+]1(=C(O)C=CC=C1))CC2(=CC=CC=C2),-1.7
O=[N+]([O-])C1(=CC=[N+](O)C=C1),-1.7
O[N+]=1(C=3(C([N+]([O-])=C2(C=1C=CC=C2))=CC=CC=3)),-1.62
SC2(=[NH+]C=1(C(=CC=CC=1)C=C2)),-1.44
SC1(=[N+](C=CC=C1)C),-1.42
O([N+]1(=C(O)C=CC=C1))C,-1.3
SC1(=[NH+]C=CC=C1),-1.22
O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))CC(C3CO)O),-0.97
O=C2(N(C1(=C(C=CC=C1)C=C2))C),-0.71
O[N+]1(=C(C=C(C#N)C=C1)C),-0.67
O[N+]1(=C(C=C(C#N)C=C1C)C),-0.61
O2(CCN(C1(=NC(=NC(=C1)N)N))CC2),-0.35
OC=1(C=2(C([NH+]=NC=1)=CC=CC=2)),-0.35
O=C(OCC)C1(=CC(=[N+](O)C(=C1)C)C),-0.13
OC1(=[N+](C=CN=C1)C),-0.04
O=C(O)C1(=CC(=[N+](O)C(=C1)C)C),-0.01
O=C(OCCCC)C1(=C[N+](O)=CC=C1),0.03
OC=1([NH+]=NC2(=CC=CC=C2(C=1))),0.21
FC(F)(F)C(=O)O,0.23
OC1(=[NH+]C([O-])=[N+](C)C2(=C1N(C=N2)C)),0.3
OC=1(C=3(C([NH+]=C2(C=1C=CC=C2))=CC=CC=3)),0.32
OC1(=[N+](C=CC=C1)C),0.32
O=C2(C(=O)C(C1(=CC=CC=C1))C2=O),0.37
[O+]1(=C(C=C(O)C=C1C)C),0.38
O=C(O)C1(=[NH+]C=2(C=CC=CC=2(N1))),0.4
OC2(=[NH+]C=1(C(=CC=CC=1)N=C2C)),0.48
S=C(O)NCCCC,0.67
FC1(=CC(=CC=C1)CN2(C=C(C(=O)N)C(C#N)C=C2)),0.68
OC1(=[NH+]C(=CN=C1C2(=CC=CC=C2))C),0.7
O[N+]1(=CC=CC=C1),0.77
SC=1(C=2(C([NH+]=CC=1)=CC=CC=2)),0.77
O=C1(N(C(C(=O)O)=CC(N1C)=O)C),0.8
S(C1(=[N+](C(O)=CC=N1)C))CC,0.9
O=C(O)C1(=[NH+]C(=CC=C1)C),0.9
S=C(O)NCC,0.92
O[N+]1(=C([NH+]=C2(N=CNC2(=C1N)))N),1
O[N+]2(=CC=C(C=CC1(=CC=C([NH+](C)C)C=C1))C=C2),1.05
OC1(=CN=[NH+]C=C1),1.07
O=C(O)C1(=C([NH+]=NC(=C1)C2(=CC=CC=C2))NCC[NH+]3(CCOCC3)),1.1
O[N+]=1(C=3(C(N=C2(C=1C=CC=C2))=CC=CC=3)),1.12
O=C2(C1(=C(O)[NH+]=CN=C1C(=O)C3(=C2N=C(C)N3C))),1.15
OC1(=[NH+]C(O)=CC(=[NH+]1)C),1.2
S(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),1.21
O=C(O)C(=O)C1(=CC=CC=C1),1.22
O=C(O)C1(=[NH+]C=CC=C1),1.25
O=C(O)C=O,1.26
O[N+]1(=CC=C(C)C=C1),1.29
O=C(O)CC([NH3+])C1(=[NH+]C=CC=C1),1.3
OC=1([NH+]=CC2(=CC=CC=C2(N=1))),1.3
O=C(O)C1(=[NH+]C=CC=C1N),1.33
O=C1(OC(=O)C(C(=O)C)C(=C1)C),1.34
O=C(O)C(=O)C1(=CC(=C(C)C=C1)C),1.36
O[N+]=1(C=3(C(C=C2(C=1C=CC=C2))=CC=CC=3)),1.37
O=C(O)C1(=C([NH+](C)C)C=CC=C1),1.4
O=[N+]([O-])C=2(C=1(C(=NC=CC=1)C(C(=O)O)=CC=2)),1.41
