smiles,pKa
S(=O)(=O)(O)C1(=CC(=CC=C1)C),-6.56
SC1(=[NH+]C=CC=2(C1=CC=CC=2)),-1.9
OC1(=[NH+]C=2(C=CC=CC=2(N1))),-1.7
OC2(=[NH+]C=1(C(=CC=CC=1)N=C2)),-1.37
[Br]C1(=C(O)[NH+]=C([O-])[N+](=C1)C2(OC(CO)C(C2O)O)),-0.9
O=C(O)C1(=CC=[N+](O)C=C1),-0.48
OC1(=[NH+]C=CN=C1),-0.1
O=C(O)CC1(=[NH+]C=2(C=CC=CC=2(N1))),0.2
OC2(=[NH+]C=1(C(=CC=CC=1)C=C2)),0.31
S=C(O)NCC(C)C,0.38
S=C(O)NCCC,0.52
OC1(=[NH+]C=CC=C1),0.75
SC#N,0.85
OC(=C(C#N)C#N)C,1
O[N+]1(=CC(=CC=C1)C),1.08
O(C1(=[N+](O)C=CC=C1))CC,1.18
O(C1(=[N+](O)C=CC=C1))C,1.23
O=C(O)C1([NH2+]C2(NC(=[NH+]C1C2)N)),1.3
O=C(O)C(=O)C1(=C(C=C(C)C=C1C)C),1.34
[Br]C1(=C(C([N+](=O)[O-])=CC=C1)C(=O)O),1.37
SC(=O)C1(=CC=C(C#N)C=C1),1.42
S(=O)(O)C1(=C(C=CC=C1)C),1.47
O=C1(N(N(C)C(=C1CC=3(C(O)=[N+](C2(=CC=CC=C2))N(C=3C)C))C)C4(=CC=CC=C4)),1.51
S1(C[NH2+]C(C1)C(=O)O),1.58
O=C([N+]1(=CC(C#N)=CC=C1))C,1.62
O=[N+]([O-])C1(C(=O)OCC1=O),1.68
OC1(=[NH+]C(=NC(=C1)N)C),1.7
OC1(=C[N+](=NC=C1)C),1.74
S=C(S)OCC,1.79
S(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1),1.86
ClC#CC(=O)O,1.89
S(C1(=[NH+]C2(=CC3(=CC=CC=C3(C=C2(N1))))))CC(=O)O,1.9
OC1(=NC=[N+](C)C=C1),1.91
O=C(O)C#CC#CC,1.94
ClC1(=C(C(=O)O)C=CC(=C1)[N+](=O)[O-]),1.96
O(C1(=CC=[N+](O)C=C1))CC2(=CC=CC=C2),1.99
IC#CC(=O)O,2
O=C(O)C[N+]1(CCCCC1)(C),2.01
O=C(O)C1(=C[NH+]=CC=C1),2.03
O[N+]2(=C(C1(=CC=CC=C1))C(C)(C)NC2(C)C),2.06
O=C(O)C1(=C([NH3+])C=CC=C1),2.08
S(C#CC(=O)O)C1(=CC=CC=C1),2.11
