time_s,conductivity,motor1_proportion
0.0489,468.000000,0.000200
0.5493,468.000000,0.006400
1.0492,474.000000,0.012700
1.5490,474.000000,0.018900
2.0494,572.000000,0.025200
2.5491,1468.000000,0.031300
3.0494,5016.000000,0.037600
3.5494,5016.000000,0.043700
4.0492,5016.000000,0.049900
4.5487,5016.000000,0.056000
5.0494,5016.000000,0.062100
5.5497,5016.000000,0.068200
6.0497,5016.000000,0.074400
6.5493,5016.000000,0.080600
7.0489,5016.000000,0.086800
7.5492,5016.000000,0.092900
8.0496,5016.000000,0.099100
8.5497,5016.000000,0.105300
9.0494,5016.000000,0.111600
9.5497,5016.000000,0.117800
10.0489,5016.000000,0.123900
10.5497,5016.000000,0.130100
11.0488,5016.000000,0.136300
11.5493,5016.000000,0.142400
12.0493,5016.000000,0.148600
12.5493,5016.000000,0.154800
13.0497,5016.000000,0.161000
13.5492,5016.000000,0.167200
14.0490,5016.000000,0.173400
14.5495,5016.000000,0.179600
15.0495,5016.000000,0.185900
15.5498,5016.000000,0.192000
16.0498,5016.000000,0.198300
16.5488,5016.000000,0.204300
17.0492,5016.000000,0.210600
17.5491,5016.000000,0.216800
18.0495,5016.000000,0.223000
19.5493,5016.000000,0.241600
20.0494,5016.000000,0.247900
22.0990,5016.000000,0.272500
22.5995,5016.000000,0.278700
23.0996,5016.000000,0.285000
23.5993,5016.000000,0.291100
24.0992,5016.000000,0.297400
24.5992,5016.000000,0.303600
25.0994,5016.000000,0.309800
25.5995,5016.000000,0.316000
26.0996,5016.000000,0.322200
26.5999,5016.000000,0.328400
27.0995,5016.000000,0.334700
27.5995,5016.000000,0.340900
28.0989,5016.000000,0.347200
28.5998,5016.000000,0.353300
29.0991,5016.000000,0.359600
29.5993,5016.000000,0.365700
30.0991,5016.000000,0.372000
30.5997,5016.000000,0.378100
31.0992,5016.000000,0.384200
31.5997,5016.000000,0.390400
32.0993,5016.000000,0.396600
32.5994,5016.000000,0.402800
33.0989,5016.000000,0.409000
33.5993,5016.000000,0.415100
34.0997,5016.000000,0.421300
34.5992,5016.000000,0.427500
35.0994,5016.000000,0.433700
35.5990,4846.000000,0.439900
36.0997,4766.000000,0.446200
36.5996,4626.000000,0.452400
37.0994,4434.000000,0.458600
37.5996,4434.000000,0.464800
38.0995,4378.000000,0.471000
38.5991,4292.000000,0.477200
39.0993,4254.000000,0.483500
39.5996,4278.000000,0.489700
40.0994,4240.000000,0.495800
40.5994,4240.000000,0.502000
41.0989,4278.000000,0.508300
41.5992,4176.000000,0.514500
42.0992,4180.000000,0.520700
42.5994,4148.000000,0.526900
43.0989,4176.000000,0.533200
43.5995,4176.000000,0.539400
44.0993,4198.000000,0.545600
44.5990,4148.000000,0.551800
45.0986,4056.000000,0.558100
45.5988,4132.000000,0.564200
46.0990,4024.000000,0.570400
46.5992,4024.000000,0.576500
47.0993,4068.000000,0.582800
47.5997,4062.000000,0.588900
48.0995,4068.000000,0.595200
48.5986,4148.000000,0.601400
49.0991,4132.000000,0.607600
49.5993,4132.000000,0.613700
50.0993,4098.000000,0.620000
50.5995,4226.000000,0.626100
51.0993,3918.000000,0.632400
51.5992,3574.000000,0.638500
52.0988,3150.000000,0.644800
52.5991,3150.000000,0.650900
53.0996,3238.000000,0.657100
53.5995,3284.000000,0.663300
54.0993,3020.000000,0.669600
54.5987,2942.000000,0.675700
55.0992,2844.000000,0.681900
55.5997,2844.000000,0.688100
56.0993,2852.000000,0.694200
56.5995,2736.000000,0.700300
57.0996,2674.000000,0.706400
57.5992,2602.000000,0.712600
58.0996,2504.000000,0.718900
58.5997,2504.000000,0.725100
59.0989,2.000000,0.731300
60.1492,2254.000000,0.743700
60.6489,2432.000000,0.749900
61.1490,2134.000000,0.756100
61.6494,2134.000000,0.762200
62.1496,1864.000000,0.768400
62.6495,1798.000000,0.774600
63.1495,1824.000000,0.780700
63.6490,1746.000000,0.786900
64.1491,1698.000000,0.793100
64.6489,1698.000000,0.799300
65.1491,1678.000000,0.805600
65.6496,1578.000000,0.811800
66.1491,1364.000000,0.818000
66.6492,1254.000000,0.824100
67.1497,1222.000000,0.830300
