time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0238,2384.000000,0.005333,16.0000,0.0000
0.0656,2384.000000,0.011333,34.0000,0.0000
0.1161,2474.000000,0.017667,53.0000,0.0000
0.1655,1872.000000,0.024000,72.0000,0.0000
0.2156,2718.000000,0.030000,90.0000,0.0000
0.2656,4828.000000,0.036333,109.0000,0.0000
0.3153,5016.000000,0.042667,128.0000,0.0000
0.3670,5016.000000,0.048667,146.0000,0.0000
0.4154,5016.000000,0.055000,165.0000,0.0000
0.4660,5016.000000,0.061000,183.0000,0.0000
0.5155,5016.000000,0.067333,202.0000,0.0000
0.5663,5016.000000,0.073333,220.0000,0.0000
0.6161,5016.000000,0.079667,239.0000,0.0000
0.6658,5016.000000,0.086000,258.0000,0.0000
0.7153,5016.000000,0.092000,276.0000,0.0000
0.7655,5016.000000,0.098333,295.0000,0.0000
0.8156,5016.000000,0.104333,313.0000,0.0000
0.8655,5016.000000,0.110667,332.0000,0.0000
0.9158,5016.000000,0.116667,350.0000,0.0000
0.9652,5016.000000,0.123000,369.0000,0.0000
1.0150,5016.000000,0.129000,387.0000,0.0000
1.0651,5016.000000,0.135333,406.0000,0.0000
1.1150,5016.000000,0.141333,424.0000,0.0000
1.1650,5016.000000,0.147667,443.0000,0.0000
1.2154,5016.000000,0.154000,462.0000,0.0000
1.2656,5016.000000,0.160000,480.0000,0.0000
1.3154,5016.000000,0.166333,499.0000,0.0000
1.3656,5016.000000,0.172667,518.0000,0.0000
1.4153,5016.000000,0.178667,536.0000,0.0000
1.4658,5016.000000,0.184667,554.0000,0.0000
1.5158,5016.000000,0.191000,573.0000,0.0000
1.5659,5016.000000,0.197000,591.0000,0.0000
1.6157,5016.000000,0.203333,610.0000,0.0000
1.6659,5016.000000,0.209333,628.0000,0.0000
1.7158,5016.000000,0.215667,647.0000,0.0000
1.7657,5016.000000,0.222000,666.0000,0.0000
1.8155,5016.000000,0.228000,684.0000,0.0000
1.8657,5016.000000,0.234333,703.0000,0.0000
1.9157,5016.000000,0.240667,722.0000,0.0000
1.9657,5016.000000,0.246667,740.0000,0.0000
2.0152,5016.000000,0.253000,759.0000,0.0000
2.0656,5016.000000,0.259000,777.0000,0.0000
2.1158,5016.000000,0.265333,796.0000,0.0000
2.1653,5016.000000,0.271667,815.0000,0.0000
2.2160,5016.000000,0.284000,852.0000,0.0000
2.2652,5016.000000,0.290000,870.0000,0.0000
2.3162,5016.000000,0.296333,889.0000,0.0000
2.3657,5016.000000,0.308667,926.0000,0.0000
2.4206,4944.000000,0.321000,963.0000,0.0000
2.4658,4960.000000,0.346000,1038.0000,0.0000
2.5204,4970.000000,0.352000,1056.0000,0.0000
2.5658,4960.000000,0.358333,1075.0000,0.0000
2.6153,4952.000000,0.364333,1093.0000,0.0000
2.6656,4944.000000,0.370667,1112.0000,0.0000
2.7151,4990.000000,0.377000,1131.0000,0.0000
2.7659,4990.000000,0.383000,1149.0000,0.0000
