time_s,conductivity,motor1_proportion,motor1_speed,motor2_speed
0.0322,2384.000000,0.005333,16.0000,0.0000
0.0822,2384.000000,0.011333,34.0000,0.0000
0.1327,2474.000000,0.017667,53.0000,0.0000
0.1824,1872.000000,0.024000,72.0000,0.0000
0.2324,2718.000000,0.030000,90.0000,0.0000
0.2832,4828.000000,0.036333,109.0000,0.0000
0.3327,5016.000000,0.042667,128.0000,0.0000
0.3827,5016.000000,0.048667,146.0000,0.0000
0.4331,5016.000000,0.055000,165.0000,0.0000
0.4825,5016.000000,0.061000,183.0000,0.0000
0.5329,5016.000000,0.067333,202.0000,0.0000
0.5830,5016.000000,0.073333,220.0000,0.0000
0.6331,5016.000000,0.079667,239.0000,0.0000
0.6821,5016.000000,0.086000,258.0000,0.0000
0.7327,5016.000000,0.092000,276.0000,0.0000
0.7829,5016.000000,0.098333,295.0000,0.0000
0.8329,5016.000000,0.104333,313.0000,0.0000
0.8828,5016.000000,0.110667,332.0000,0.0000
0.9327,5016.000000,0.116667,350.0000,0.0000
0.9831,5016.000000,0.123000,369.0000,0.0000
1.0325,5016.000000,0.129000,387.0000,0.0000
1.0820,5016.000000,0.135333,406.0000,0.0000
1.1323,5016.000000,0.141333,424.0000,0.0000
1.1825,5016.000000,0.147667,443.0000,0.0000
1.2330,5016.000000,0.154000,462.0000,0.0000
1.2829,5016.000000,0.160000,480.0000,0.0000
1.3323,5016.000000,0.166333,499.0000,0.0000
1.3824,5016.000000,0.172667,518.0000,0.0000
1.4331,5016.000000,0.178667,536.0000,0.0000
1.4826,5016.000000,0.184667,554.0000,0.0000
1.5324,5016.000000,0.191000,573.0000,0.0000
1.5826,5016.000000,0.197000,591.0000,0.0000
1.6332,5016.000000,0.203333,610.0000,0.0000
1.6829,5016.000000,0.209333,628.0000,0.0000
1.7322,5016.000000,0.215667,647.0000,0.0000
1.7831,5016.000000,0.222000,666.0000,0.0000
1.8333,5016.000000,0.228000,684.0000,0.0000
1.8828,5016.000000,0.234333,703.0000,0.0000
1.9327,5016.000000,0.240667,722.0000,0.0000
1.9825,5016.000000,0.246667,740.0000,0.0000
2.0330,5016.000000,0.253000,759.0000,0.0000
2.0830,5016.000000,0.259000,777.0000,0.0000
2.1328,5016.000000,0.265333,796.0000,0.0000
2.1823,5016.000000,0.271667,815.0000,0.0000
2.2322,5016.000000,0.284000,852.0000,0.0000
2.2827,5016.000000,0.290000,870.0000,0.0000
2.3332,5016.000000,0.296333,889.0000,0.0000
2.3825,5016.000000,0.308667,926.0000,0.0000
2.4324,4944.000000,0.321000,963.0000,0.0000
2.4827,4960.000000,0.346000,1038.0000,0.0000
2.5332,4970.000000,0.352000,1056.0000,0.0000
2.5824,4960.000000,0.358333,1075.0000,0.0000
2.6325,4952.000000,0.364333,1093.0000,0.0000
2.6827,4944.000000,0.370667,1112.0000,0.0000
2.7320,4990.000000,0.377000,1131.0000,0.0000
2.7827,4990.000000,0.383000,1149.0000,0.0000
2.8325,4960.000000,0.389333,1168.0000,0.0000
2.8830,4802.000000,0.395333,1186.0000,0.0000
2.9335,4544.000000,0.401667,1205.0000,0.0000
2.9831,4190.000000,0.408000,1224.0000,0.0000
3.0328,4132.000000,0.414000,1242.0000,0.0000
3.0831,4132.000000,0.420333,1261.0000,0.0000
3.1322,4128.000000,0.426333,1279.0000,0.0000
3.1825,4132.000000,0.432667,1298.0000,0.0000
3.2324,4128.000000,0.438667,1316.0000,0.0000
3.2828,4148.000000,0.445000,1335.0000,0.0000
3.3328,4112.000000,0.451000,1353.0000,0.0000
3.3825,4112.000000,0.457333,1372.0000,0.0000
3.4329,4118.000000,0.463333,1390.0000,0.0000
3.4828,4248.000000,0.469667,1409.0000,0.0000
3.5328,3884.000000,0.475667,1427.0000,0.0000
3.5822,3606.000000,0.482000,1446.0000,0.0000
3.6330,3774.000000,0.488000,1464.0000,0.0000
3.6828,3774.000000,0.494333,1483.0000,0.0000
3.7330,3866.000000,0.500333,1501.0000,0.0000
3.7823,3872.000000,0.506667,1520.0000,0.0000
3.8325,3918.000000,0.513000,1539.0000,0.0000
3.8827,4050.000000,0.519000,1557.0000,0.0000
3.9347,3918.000000,0.525333,1576.0000,0.0000
3.9827,3918.000000,0.531333,1594.0000,0.0000
4.0329,3768.000000,0.537667,1613.0000,0.0000
4.0829,3606.000000,0.544000,1632.0000,0.0000
4.1327,3682.000000,0.550000,1650.0000,0.0000
4.1831,3774.000000,0.556333,1669.0000,0.0000
4.2321,3762.000000,0.562667,1688.0000,0.0000
4.2825,3762.000000,0.568667,1706.0000,0.0000
4.3327,3742.000000,0.575000,1725.0000,0.0000
4.3824,3454.000000,0.581000,1743.0000,0.0000
4.4339,2844.000000,0.587333,1762.0000,0.0000
4.4831,2446.000000,0.593667,1781.0000,0.0000
4.5326,2256.000000,0.599667,1799.0000,0.0000
4.5826,2256.000000,0.606000,1818.0000,0.0000
4.6324,2124.000000,0.612000,1836.0000,0.0000
4.6823,2076.000000,0.618333,1855.0000,0.0000
4.7329,2140.000000,0.624667,1874.0000,0.0000
