time_s,conductivity,motor1_proportion
0.3447,2512.000000,0.003600
0.8449,2512.000000,0.009800
1.3444,2658.000000,0.016100
1.8443,3220.000000,0.022300
2.3446,3520.000000,0.028500
2.8444,4890.000000,0.034700
3.3442,5016.000000,0.040900
3.8442,5016.000000,0.047000
4.3439,5016.000000,0.053300
4.8444,5016.000000,0.059400
5.3444,5016.000000,0.065500
5.8440,5016.000000,0.071600
6.3446,5016.000000,0.077800
6.8444,5016.000000,0.084000
7.3441,5016.000000,0.090200
7.8442,5016.000000,0.096400
8.3443,5016.000000,0.102600
8.8441,5016.000000,0.108800
9.3443,5016.000000,0.114900
9.8449,5016.000000,0.121100
10.3444,5016.000000,0.127300
10.8443,5016.000000,0.133400
11.3445,5016.000000,0.139600
11.8445,5016.000000,0.145800
12.3444,5016.000000,0.152000
12.8447,5016.000000,0.158200
13.3447,5016.000000,0.164300
13.8444,5008.000000,0.170500
14.3449,4878.000000,0.176700
14.8447,4890.000000,0.182900
15.3444,4890.000000,0.189100
15.8451,4890.000000,0.195300
16.3449,4872.000000,0.201500
16.8440,4878.000000,0.207700
17.3443,4828.000000,0.214000
17.8443,4750.000000,0.220100
18.3442,4554.000000,0.226400
18.8445,4554.000000,0.232600
19.3442,4442.000000,0.238800
19.8445,4428.000000,0.245000
20.3442,4474.000000,0.251200
20.8449,4514.000000,0.257400
21.3448,4496.000000,0.263600
21.8444,4496.000000,0.269800
22.3443,4496.000000,0.276000
22.8441,4490.000000,0.282200
23.3448,4496.000000,0.288400
23.8440,4312.000000,0.294600
24.3443,4240.000000,0.300800
24.8444,4240.000000,0.307000
25.3443,4164.000000,0.313200
25.8445,4008.000000,0.319400
26.3441,3762.000000,0.325700
26.8444,3730.000000,0.331800
27.8440,3752.000000,0.344300
28.3446,3762.000000,0.350500
28.8443,3730.000000,0.356700
29.8447,3738.000000,0.369100
30.8446,3742.000000,0.381600
31.8438,3730.000000,0.394100
33.3947,3618.000000,0.412600
33.8941,3618.000000,0.418800
35.3943,4090.000000,0.437400
35.8938,3802.000000,0.443600
36.3941,3514.000000,0.449800
36.8940,3514.000000,0.456000
37.3943,3434.000000,0.462200
37.8941,3318.000000,0.468400
38.3941,3294.000000,0.474600
38.8940,3220.000000,0.480800
39.3946,3220.000000,0.487000
39.8944,3220.000000,0.493200
40.3944,3278.000000,0.499400
40.8941,3234.000000,0.505600
41.3939,3228.000000,0.511800
41.8939,3162.000000,0.518000
42.3941,3030.000000,0.524200
42.8945,3030.000000,0.530400
43.3943,3026.000000,0.536700
43.8943,3026.000000,0.542900
44.3946,3036.000000,0.549100
44.8939,3026.000000,0.555300
45.3942,3026.000000,0.561500
45.8940,3026.000000,0.567700
46.3945,3008.000000,0.573900
46.8942,3178.000000,0.580100
47.3947,3202.000000,0.586300
47.8942,3304.000000,0.592500
48.3942,3072.000000,0.598600
48.8947,3072.000000,0.604800
49.3942,3008.000000,0.611000
49.8940,2634.000000,0.617200
50.3949,2046.000000,0.623400
50.8947,1548.000000,0.629500
51.3945,1364.000000,0.635800
51.8941,1364.000000,0.642000
52.3939,1270.000000,0.648200
52.8945,1218.000000,0.654400
53.3947,1200.000000,0.660600
53.8942,1218.000000,0.666700
54.3941,1240.000000,0.673000
54.8941,1240.000000,0.679200
55.3946,1248.000000,0.685400
55.8942,1242.000000,0.691600
56.3939,1280.000000,0.697700
56.8941,1240.000000,0.703900
57.3948,1202.000000,0.710200
57.8942,1202.000000,0.716400
58.3946,1178.000000,0.722600
58.8941,1226.000000,0.728700
59.3941,1188.000000,0.734900
59.8944,1024.000000,0.741100
60.3948,992.000000,0.747300
60.8944,992.000000,0.753500
61.3945,1162.000000,0.759800
61.8943,1244.000000,0.766000
62.3946,1254.000000,0.772300
62.8941,1244.000000,0.778400
63.3945,1240.000000,0.784700
63.8939,1240.000000,0.790900
64.3942,1218.000000,0.797000
64.8944,1162.000000,0.803200
65.3945,1206.000000,0.809400
65.8942,1318.000000,0.815500
66.3941,1394.000000,0.821700
66.8949,1394.000000,0.827900
67.3947,1434.000000,0.834200
67.8943,1440.000000,0.840300
68.8943,1400.000000,0.852600
69.8948,1468.000000,0.865000
70.8946,1566.000000,0.877400
71.8942,1652.000000,0.889800
73.9443,1820.000000,0.914500
74.4446,1864.000000,0.920700
74.9440,1926.000000,0.926900
75.4444,1952.000000,0.933100
75.9446,1952.000000,0.939300
76.4445,2076.000000,0.945500
76.9441,2092.000000,0.951700
77.4448,2090.000000,0.958000
77.9442,2092.000000,0.964200
78.4444,2218.000000,0.970400
78.9443,2218.000000,0.976600
79.4449,2270.000000,0.982800
79.9449,2278.000000,0.989000
80.4448,2382.000000,0.995200
80.9444,2408.000000,0.000000
81.4446,2392.000000,0.000000
81.9447,2392.000000,0.000000
82.4444,2384.000000,0.000000
82.9439,2372.000000,0.000000
83.4445,2392.000000,0.000000
83.9443,2384.000000,0.000000
84.4438,2384.000000,0.000000
84.9449,2384.000000,0.000000
85.4445,2384.000000,0.000000
85.9444,2392.000000,0.000000
86.4446,2392.000000,0.000000
86.9441,2376.000000,0.000000
87.4441,2392.000000,0.000000
87.9443,2392.000000,0.000000
88.4447,2384.000000,0.000000
88.9445,2392.000000,0.000000
89.4441,2392.000000,0.000000
89.9446,2392.000000,0.000000
90.4440,2384.000000,0.000000
