time_s,conductivity,motor1_proportion
0.4687,2384.000000,0.005250
0.9689,2384.000000,0.011500
1.4687,2474.000000,0.017625
1.9685,1872.000000,0.023875
2.4684,2718.000000,0.030125
2.9690,4828.000000,0.036250
3.4684,5016.000000,0.042500
3.9688,5016.000000,0.048625
4.4684,5016.000000,0.054875
4.9688,5016.000000,0.061000
5.4685,5016.000000,0.067250
5.9691,5016.000000,0.073500
6.4684,5016.000000,0.079625
6.9684,5016.000000,0.085875
7.4688,5016.000000,0.092000
7.9687,5016.000000,0.098250
8.4690,5016.000000,0.104375
8.9689,5016.000000,0.110625
9.4692,5016.000000,0.116750
9.9687,5016.000000,0.122875
10.4686,5016.000000,0.129125
10.9687,5016.000000,0.135250
11.4687,5016.000000,0.141500
11.9688,5016.000000,0.147750
12.4684,5016.000000,0.153875
12.9685,5016.000000,0.160125
13.4686,5016.000000,0.166250
13.9691,5016.000000,0.172500
14.4690,5016.000000,0.178625
14.9684,5016.000000,0.184750
15.4688,5016.000000,0.191000
15.9687,5016.000000,0.197125
16.4692,5016.000000,0.203375
16.9687,5016.000000,0.209500
17.4691,5016.000000,0.215750
17.9691,5016.000000,0.221875
18.4683,5016.000000,0.228125
18.9690,5016.000000,0.234375
19.4692,5016.000000,0.240500
19.9683,5016.000000,0.246750
20.4684,5016.000000,0.253000
20.9688,5016.000000,0.259125
21.4683,5016.000000,0.265375
21.9688,5016.000000,0.271500
22.9686,5016.000000,0.284000
23.4689,5016.000000,0.290125
23.9692,5016.000000,0.296375
24.9685,5016.000000,0.308750
25.9683,4944.000000,0.321125
28.0188,4960.000000,0.345875
28.5183,4970.000000,0.352000
29.0183,4960.000000,0.358250
29.5188,4952.000000,0.364375
30.0187,4944.000000,0.370625
30.5187,4990.000000,0.376875
31.0183,4990.000000,0.383000
31.5187,4960.000000,0.389250
32.0184,4802.000000,0.395500
32.5184,4544.000000,0.401625
33.0185,4190.000000,0.407875
33.5190,4132.000000,0.414000
34.0189,4132.000000,0.420250
34.5187,4128.000000,0.426375
35.0187,4132.000000,0.432500
35.5192,4128.000000,0.438750
36.0191,4148.000000,0.444875
36.5186,4112.000000,0.451000
37.0191,4112.000000,0.457250
37.5190,4118.000000,0.463500
38.0182,4248.000000,0.469625
38.5190,3884.000000,0.475750
39.0185,3606.000000,0.482000
39.5191,3774.000000,0.488125
40.0190,3774.000000,0.494375
40.5187,3866.000000,0.500500
41.0185,3872.000000,0.506750
41.5189,3918.000000,0.513000
42.0186,4050.000000,0.519125
42.5188,3918.000000,0.525375
43.0185,3918.000000,0.531500
43.5182,3768.000000,0.537750
44.0189,3606.000000,0.544000
44.5190,3682.000000,0.550125
45.0191,3774.000000,0.556375
45.5189,3762.000000,0.562500
46.0185,3762.000000,0.568750
46.5190,3742.000000,0.575000
47.0191,3454.000000,0.581125
47.5191,2844.000000,0.587375
48.0190,2446.000000,0.593625
48.5184,2256.000000,0.599750
49.0190,2256.000000,0.606000
49.5190,2124.000000,0.612125
50.0190,2076.000000,0.618375
50.5184,2140.000000,0.624625
51.0186,2120.000000,0.630750
51.5186,2068.000000,0.637000
52.0182,2068.000000,0.643125
52.5187,2020.000000,0.649375
53.0187,1996.000000,0.655625
53.5190,1952.000000,0.661750
54.0190,1644.000000,0.667875
54.5186,1416.000000,0.674125
55.0183,1416.000000,0.680375
55.5187,1316.000000,0.686500
56.0183,1302.000000,0.692625
56.5183,1338.000000,0.698750
57.0185,1324.000000,0.705000
57.5186,1240.000000,0.711125
58.0184,1240.000000,0.717250
58.5185,1216.000000,0.723500
59.0185,1208.000000,0.729625
59.5185,1044.000000,0.735875
60.0191,934.000000,0.742125
61.0184,952.000000,0.754500
62.0187,1118.000000,0.766875
63.0191,1184.000000,0.779250
64.0688,1220.000000,0.791750
